WN001	WN002	WN003	WN008	WN009	WN011	WN013	WN016	WN019	WN020	WN021	WN024	WN025	WN027	WN028	WN032	WN033	WN037	WN039	WN041	WN044	WN046	WN050	WN053	WN054	WN056	WN057	WN059	WN060	WN061	WN062	WN068	WN069	WN071	WN076	WN077	WN079
binI3020000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1
binI3030000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1
binI3060000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1
binI3070000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1
binI3080000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1
binI3090000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1
binI3220000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3230000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3290000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3300000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3390000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3400000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3520000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3530000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3580000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3590000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3640000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI3650000	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI6010000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI6020000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI6260000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI6270000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI7880000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI7890000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1
binI8000000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1
binI8010000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1
binI9110000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1
binI9120000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI9130000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI9140000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI9290000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI9300000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI9670000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI9680000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI9810000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI9820000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI10510000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI10520000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1
binI10850000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI10860000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11030000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11040000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11290000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11300000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11360000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11370000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11560000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11570000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11780000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11790000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11970000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI11980000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI12180000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI12190000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI12410000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI12420000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI12560000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI12570000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI12700000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI12710000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1
binI13850000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	-1	1
binI13860000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	-1	1
binI13870000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	-1	1
binI13880000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	-1	1
binI14660000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1
binI14670000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1
binI14680000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1
binI14690000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1
binI14820000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1
binI14830000	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1
binI15072423	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1
binII10000	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII690000	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII700000	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII1300000	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII1310000	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII1670000	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII1680000	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2200000	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2210000	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2470000	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2480000	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2530000	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2540000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2620000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2630000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2640000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2760000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2770000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2830000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2840000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2860000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2870000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII2880000	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1
binII3240000	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII3250000	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII3280000	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII3290000	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
